iter	RMSE
0	432.792585
1	407.77413
2	385.495972
3	365.3741623
4	347.1782783
5	330.8734769
6	315.7146341
7	302.5789668
8	290.4206636
9	279.9324685
10	270.2725847
11	261.9291492
12	254.5861229
13	248.142929
14	242.2694589
15	236.8387499
16	232.6785097
17	228.4352579
18	224.9107482
19	221.5915539
20	218.7437125
21	216.1864112
22	213.7218692
23	211.867865
24	209.7214236
25	207.3446479
26	204.8844513
27	202.6682913
28	200.8612033
29	199.1924223
30	197.6808736
31	195.9729842
32	194.5125033
33	193.2649647
34	191.9889086
35	191.0780133
36	190.2697735
37	189.4889228
38	188.4924853
39	187.7267173
40	187.2542129
41	186.6567145
42	185.9864111
43	185.1991754
44	184.8236518
45	184.431276
46	184.1432657
47	183.7392457
48	183.4514704
49	183.1153534
50	182.9289454
51	182.3165209
52	182.1242257
53	181.9317094
54	181.5746329
55	180.961225
56	180.5883589
57	180.3574653
58	179.6494536
59	178.9288104
60	178.8652432
61	178.523023
62	178.3903977
63	178.0905266
64	177.4769753
65	176.7986617
66	176.7109537
67	176.6259266
68	176.2412461
69	176.0987105
70	176.0209996
71	175.8765733
72	175.8114123
73	175.6808354
74	175.2187419
75	174.6986337
76	174.5760417
77	174.1834838
78	174.1432002
79	173.6874547
80	173.6468467
81	173.3320194
82	173.157642
83	172.4768976
84	172.4520207
85	172.0463738
86	171.9079547
87	171.8240103
88	171.773565
89	171.7278013
90	171.3485627
91	171.1843714
92	171.0638068
93	170.9334213
94	170.6178078
95	170.3580215
96	170.2492972
97	169.9007802
98	169.5998256
99	169.5296827
100	169.5109297
101	169.1942729
102	168.9315008
103	168.8839613
104	168.6008335
105	168.443594
106	168.3943916
107	168.3772974
108	168.3031004
109	168.2494297
110	167.7711867
111	167.748433
112	167.4951735
113	167.4794344
114	167.451745
115	167.3512942
116	167.1137803
117	167.031991
118	167.0029325
119	166.9376937
120	166.8558617
121	166.8199129
122	166.8107169
123	166.7623976
124	166.5423629
125	166.3590407
126	166.2050133
127	166.1614008
128	166.1317847
129	166.0588489
130	166.0069944
131	165.9630718
132	165.8231755
133	165.7827081
134	165.773997
135	165.5726447
136	165.5415175
137	165.48466
138	165.443362
139	165.2984662
140	165.2433987
141	165.2062599
142	165.1899849
143	165.1396131
144	165.1048572
145	165.0789301
146	165.023091
147	164.9756133
148	164.9303406
149	164.8907918
150	164.6842251
151	164.6515644
152	164.6064535
153	164.5727491
154	164.5359909
155	164.5120233
156	164.3204746
157	164.2835591
158	164.2411027
159	164.2082793
160	164.0268159
161	164.0078272
162	163.9737915
163	163.8702438
164	163.8300188
165	163.7573769
166	163.7354382
167	163.5998364
168	163.4245834
169	163.3223053
170	163.2370791
171	163.2016548
172	163.1764077
173	163.122797
174	163.0684936
175	163.0322741
176	163.0151058
177	162.9556531
178	162.8757298
179	162.8589142
180	162.7835721
181	162.7497214
182	162.7368663
183	162.7099704
184	162.6598723
185	162.6408797
186	162.5946184
187	162.5673295
188	162.5508286
189	162.5399942
190	162.5177869
191	162.3686476
192	162.3490662
193	162.3329089
194	162.3224205
195	162.3122335
196	162.2747621
197	162.2533159
