iter	Passed	Remaining
0	7	7369
1	13	6717
2	20	6692
3	26	6690
4	33	6584
5	39	6527
6	45	6458
7	51	6407
8	57	6385
9	63	6327
10	70	6342
11	77	6363
12	83	6333
13	90	6395
14	98	6450
15	105	6516
16	112	6528
17	121	6626
18	129	6676
19	138	6765
20	145	6783
21	153	6805
22	160	6820
23	168	6865
24	176	6876
25	183	6884
26	190	6866
27	197	6867
28	204	6852
29	212	6862
30	219	6862
31	226	6861
32	234	6859
33	241	6866
34	248	6861
35	256	6858
36	262	6836
37	268	6808
38	275	6794
39	282	6781
40	289	6760
41	295	6741
42	302	6726
43	308	6701
44	314	6683
45	321	6657
46	327	6636
47	333	6623
48	340	6601
49	346	6587
50	353	6568
51	359	6546
52	365	6530
53	371	6514
54	378	6510
55	385	6496
56	391	6479
57	397	6457
58	404	6446
59	411	6441
60	416	6418
61	423	6403
62	429	6386
63	435	6369
64	442	6361
65	448	6349
66	455	6345
67	461	6327
68	468	6319
69	474	6309
70	481	6294
71	487	6283
72	493	6271
73	499	6254
74	505	6239
75	512	6233
76	519	6230
77	525	6216
78	531	6196
79	537	6185
80	543	6171
81	549	6155
82	556	6143
83	562	6132
84	567	6112
85	575	6114
86	581	6097
87	587	6085
88	592	6067
89	598	6056
90	605	6049
91	611	6039
92	618	6031
93	624	6018
94	630	6010
95	637	5999
96	642	5985
97	649	5977
98	656	5971
99	662	5963
100	668	5953
101	675	5950
102	683	5953
103	690	5947
104	697	5944
105	704	5942
106	711	5941
107	719	5942
108	727	5948
109	736	5957
110	745	5968
111	752	5969
112	760	5970
113	767	5963
114	776	5973
115	784	5980
116	792	5982
117	800	5986
118	808	5985
119	816	5986
120	824	5990
121	830	5979
122	836	5967
123	843	5961
124	851	5961
125	859	5958
126	866	5958
127	874	5954
128	881	5952
129	888	5948
130	895	5940
131	901	5930
132	909	5930
133	916	5925
134	923	5915
135	932	5922
136	939	5917
137	948	5922
138	956	5924
139	967	5943
140	979	5967
141	990	5984
142	998	5985
143	1006	5981
144	1013	5975
145	1021	5974
146	1029	5974
147	1038	5980
148	1047	5979
149	1055	5981
150	1062	5973
151	1069	5967
152	1077	5966
153	1085	5963
154	1093	5958
155	1100	5954
156	1108	5951
157	1116	5949
158	1124	5948
159	1132	5946
160	1140	5945
161	1148	5942
162	1156	5940
163	1164	5935
164	1171	5930
165	1179	5924
166	1185	5915
167	1193	5908
168	1199	5896
169	1205	5885
170	1212	5879
171	1219	5869
172	1225	5858
173	1232	5850
174	1238	5840
175	1245	5831
176	1252	5823
177	1259	5818
178	1266	5807
179	1272	5797
180	1279	5789
181	1286	5779
182	1292	5771
183	1299	5762
184	1306	5754
185	1312	5745
186	1320	5743
187	1328	5738
188	1335	5730
189	1342	5724
190	1350	5718
191	1358	5716
192	1365	5708
193	1372	5703
194	1379	5694
195	1387	5690
196	1395	5686
197	1403	5682
198	1411	5679
199	1419	5676
200	1426	5669
201	1433	5664
202	1441	5657
203	1448	5651
204	1456	5646
205	1464	5642
206	1471	5637
207	1478	5629
208	1486	5625
209	1493	5616
210	1499	5608
211	1505	5597
212	1512	5589
213	1519	5582
214	1526	5573
215	1533	5565
216	1539	5555
217	1545	5545
218	1552	5537
219	1558	5526
220	1566	5521
221	1572	5511
222	1579	5504
223	1586	5496
224	1592	5486
225	1600	5480
226	1606	5471
227	1613	5463
228	1619	5453
229	1625	5443
230	1633	5437
231	1639	5427
232	1645	5416
233	1652	5409
234	1676	5458
235	1703	5515
236	1717	5527
237	1724	5520
238	1741	5544
239	1748	5536
240	1754	5526
241	1761	5517
242	1768	5510
243	1775	5499
244	1781	5491
245	1787	5479
246	1794	5470
247	1800	5460
248	1808	5453
249	1815	5446
250	1822	5437
251	1828	5427
252	1834	5417
253	1841	5407
254	1848	5400
255	1855	5392
256	1862	5383
257	1868	5372
258	1875	5365
259	1881	5355
260	1888	5346
261	1895	5338
262	1901	5328
263	1908	5321
264	1914	5310
265	1921	5301
266	1927	5292
267	1934	5284
268	1941	5275
269	1947	5265
270	1953	5255
271	1960	5246
272	1967	5238
273	1973	5230
274	1980	5221
275	1986	5211
276	1993	5204
277	2000	5195
278	2006	5186
279	2013	5177
280	2020	5169
281	2026	5159
282	2032	5149
283	2040	5144
284	2047	5136
285	2054	5130
286	2063	5125
287	2072	5123
288	2080	5117
289	2088	5113
290	2096	5107
291	2104	5102
292	2111	5094
293	2119	5090
294	2126	5083
295	2134	5076
296	2142	5070
297	2149	5063
298	2156	5055
299	2164	5049
300	2171	5042
301	2179	5037
302	2186	5030
303	2194	5023
304	2201	5015
305	2208	5007
306	2214	4999
307	2221	4990
308	2227	4982
309	2233	4972
310	2240	4964
311	2247	4955
312	2254	4947
313	2260	4938
314	2266	4929
315	2273	4920
316	2279	4911
317	2285	4902
318	2292	4893
319	2298	4884
320	2305	4875
321	2311	4867
322	2317	4857
323	2323	4848
324	2331	4842
325	2337	4833
326	2344	4824
327	2350	4815
328	2357	4807
329	2363	4799
330	2370	4790
331	2376	4781
332	2382	4771
333	2388	4762
334	2395	4755
335	2401	4746
336	2408	4738
